"Key","Issue Type","Parent","Summary","Status","Assignee","Sprint","Start date","Inferred start date","Due date","Inferred due date","Issue color"
"PT-3","Epic","","User experience and profile security","Done","","PT Sprint 1","","2024/03/18","","2024/03/25","dark_yellow"
"PT-5","Story","PT-3","Preferences and Settings Customization","Done","","","","","","","purple"
"PT-4","Story","PT-3","Profile Management Improvements","Done","","","","","","","purple"
"PT-32","Test","PT-3","Verify that the user can successfully edit and save their profile name.","Done","","","","","","","purple"
"PT-12","Task","PT-3","Implement Password Change Feature","Done","","","","","","","purple"
"PT-19","Task","PT-3","Implement Notification Preferences Feature","Done","","","","","","","purple"
"PT-23","Test","PT-3","Verify that users can customize their notification preferences successfully.","Done","","","","","","","purple"
"PT-24","Test","PT-3","Test that the user can change language from settings","Done","","","","","","","purple"
"PT-25","Test","PT-3","Verify that an user can create a new playlist","Done","","","","","","","purple"
"PT-26","Test","PT-3","Verify if the user can change profile gender and save settings","Done","","","","","","","purple"
"PT-27","Bug","PT-3","Failure to change gender ","Done","","","","","","","purple"
"PT-30","Test","PT-3","Verify that the user is able to edit their profile information","Done","","PT Sprint 1","","2024/03/18","","2024/03/25","purple"
"PT-33","Story","PT-3","Playlists","Done","","","","","","","purple"
"PT-34","Test","PT-3","Verify that the user can succesfully rename the playlist","Done","","","","","","","purple"
"PT-35","Test","PT-3","Verify that the user can reorder songs in playlist ","Done","","","","","","","purple"
"PT-36","Test","PT-3","Verifiy that an user can remove Songs from Playlist","Done","","","","","","","purple"
"PT-37","Test","PT-3","Verify that the user can duplicate Playlist","Done","","","","","","","purple"
